Species,Plant type,ACT,NSW,NT,QLD,SA,VIC,WA,Number of growers,Number of States,Origin,Count,Synonym
Abelia grandiflora,Shrub,7,16,1,10,2,17,5,58,7,Exotic,,
Abelia grandiflora Dwarf,Shrub,,12,1,13,,19,,45,4,Exotic,,
Abelia grandiflora Nana,Shrub,2,17,,2,2,21,1,45,6,Exotic,,
Acacia boormanii,Shrub,9,9,,,,17,,35,3,Native,,
Acacia cognata,Shrub,4,3,,2,,32,,41,4,Native,,
Acacia cognata Dazzler,Shrub,,4,,,,27,,31,2,Native,,
Acacia cognata Lime Magik,Shrub,,4,,,,30,,34,2,Native,,
Acacia cognata Limelight,Shrub,,16,,1,,22,5,44,4,Native,,
Acacia cognata Mini Cog,Shrub,,5,,2,,15,3,25,4,Native,,
Acacia dealbata,Shrub,8,7,,,,14,,29,3,Native,,
Acacia fimbriata,Shrub,2,21,,42,,7,,72,4,Native,,
Acacia floribunda,Shrub,9,22,,9,,23,,63,4,Native ,,
Acacia implexa,Shrub,3,11,,2,,82,,98,4,Native ,,
Acacia iteaphylla,Shrub,3,3,,,,30,2,38,4,Native ,,
Acacia longifolia,Shrub,3,18,,2,,4,,27,4,Native,,
Acacia melanoxylon,Shrub,2,14,,21,2,87,1,127,6,Native,,
Acacia pendula,Shrub,3,1,,2,,23,,29,4,Native,,
Acacia podalyriifolia,Shrub,,10,,17,,6,2,35,4,Native,,
Acacia pycnantha,Shrub,2,4,,,1,34,,41,4,Native,,
Acalypha wilkesiana Firestorm,Shrub,,2,,32,1,,,35,3,Exotic,,
Acalypha wilkesiana Inferno,Shrub,,,,33,,,1,34,2,Exotic,,
Acanthus mollis,Herb,1,33,,3,1,16,2,56,6,Exotic,,
Acer buergerianum,Tree,7,24,,5,2,57,,95,5,Exotic,,
Acer japonicum Vitifolium,Tree,2,12,,,,31,,45,3,Exotic,,
Acer negundo Sensation,Tree,,15,,1,6,32,,54,4,Exotic,,
