SELECTION,GrowthForm,Matched_Scientific_name,SUA_presence,SUA top 100,comment,
3,tree,Acacia,43,6,,
8,shrub,Acacia acinacea,12,3,,
8,shrub,Acacia binervata,14,3,,
4,tree,Acacia complanata,9,6,,
2,tree,Acacia dealbata,24,11,,
4,tree,Acacia dealbata subsp. dealbata,20,9,,
4,shrub,Acacia decora,18,6,,
4,tree,Acacia disparrima subsp. disparrima,12,6,,
4,shrub,Acacia fimbriata,19,6,,
6,shrub,Acacia genistifolia,19,5,,
6,tree,Acacia holosericea,8,5,,
9,shrub,Acacia hubbardiana,4,3,,
3,tree,Acacia implexa,26,7,,
6,tree,Acacia leptocarpa,8,4,,
6,tree,Acacia linifolia,12,5,,
5,tree,Acacia longifolia,22,4,,
4,tree,Acacia maidenii,18,6,,
2,tree,Acacia mearnsii,27,12,,
1,tree,Acacia melanoxylon,36,19,,
2,tree,Acacia myrtifolia,29,15,,
9,tree,Acacia neriifolia,6,2,,
3,shrub,Acacia paradoxa,29,8,,
9,shrub,Acacia pulchella,4,3,,
2,tree,Acacia pycnantha,22,10,,
9,shrub,Acacia quadrilateralis,9,3,,
3,tree,Acacia saligna,25,8,,
9,shrub,Acacia stenoptera,3,3,,
4,tree,Acacia stricta,18,6,,
3,shrub,Acacia suaveolens,27,8,,
6,tree,Acacia terminalis,15,5,,
2,shrub,Acacia ulicifolia,27,13,,
4,shrub,Acacia verniciflua,19,7,,
4,shrub,Acacia verticillata,10,8,,
3,forb,Acaena echinata,23,6,,
2,forb,Acaena novae-zelandiae,27,13,,
3,forb,Acaena ovina,27,6,,
,tree,Acer freemanii,,,,
1,forb,Acetosella vulgaris,38,10,,
4,shrub,Acmena smithii Small-leaved race,13,9,,
4,shrub,Acronychia imperforata,11,6,,
4,tree,Acronychia laevis,13,6,,
2,shrub,Acrotriche serrulata,20,13,,
,tree,Agathis robusta,,,,
,tree,Agonis flexuosa,,,,
3,grass,Agrostis,22,6,,
3,grass,Agrostis capillaris,22,6,>200k BGIF records,
6,shrub,Aidia racemosa,8,5,,
3,forb,Ajuga australis,38,7,,
4,forb,Allium triquetrum,18,6,,
1,tree,Allocasuarina littoralis,32,20,,
2,tree,Allocasuarina torulosa,26,10,,
3,tree,Allocasuarina verticillata,24,6,,
6,grass,Alloteropsis semialata,14,5,,
2,tree,Alphitonia excelsa,22,17,,
6,forb,Alpinia caerulea,14,5,,
1,forb,Alternanthera denticulata,42,11,,
4,shrub,Alyxia ruscifolia,17,6,,
4,shrub,Amperea xiphoclada var. xiphoclada,19,6,,
3,epiphyte,Amyema cambagei,21,6,,
3,epiphyte,Amyema miquelii,36,7,,
9,forb,Anarthria prolifera,4,3,,
4,grass,Andropogon virginicus,13,7,,
4,forb,Aneilema acuminatum,20,6,,
6,tree,Angophora costata,11,4,,
,tree,Angophora costata,,,,
2,tree,Angophora floribunda,19,10,,
9,tree,Angophora inopina,2,2,,
9,tree,Angophora woodsiana,7,3,,
2,grass,Anthosachne scabra,30,12,,
3,grass,Anthoxanthum odoratum,28,8,>200 GBIF records,
6,tree,Aphananthe philippinensis,15,5,,
,tree,Araucaria heterophylla,,,Spelling,Auracaria heterophylla
8,shrub,Archirhodomyrtus beckleri,10,3,,
6,tree,Archontophoenix cunninghamiana,13,5,,
3,forb,Arctotheca calendula,36,8,,
4,grass,Aristida personata,19,6,,
3,grass,Aristida ramosa,23,7,,
4,grass,Aristida vagans,20,8,,
4,grass,Aristida warburgii,16,6,,
3,forb,Arthropodium minus,23,7,,
4,forb,Arthropodium strictum,17,6,,
5,shrub,Asclepias curassavica,23,4,,
1,forb,Asparagus asparagoides,31,10,,
3,forb,Asperula conferta,31,8,,
1,forb,Aster subulatus,41,13,,
2,shrub,Astroloma humifusum,28,13,,
3,forb,Atriplex prostrata,26,6,,
1,grass,Austrostipa,31,14,,
6,grass,Austrostipa bigeniculata,17,4,,
4,grass,Austrostipa elegantissima,15,6,,
6,grass,Austrostipa flavescens,15,4,,
3,grass,Austrostipa mollis,21,9,,
3,grass,Austrostipa scabra,24,6,,
4,grass,Austrostipa scabra subsp. falcata,20,8,,
6,grass,Austrostipa scabra subsp. scabra,20,5,,
5,grass,Avena barbata,24,4,,
3,grass,Avena fatua,33,9,,
3,fern,Azolla filiculoides,35,7,,
3,fern,Azolla pinnata,27,6,,
4,shrub,Baccharis halimifolia,14,6,,
6,shrub,Banksia aemula,13,4,,
6,tree,Banksia attenuata,9,4,,
9,Shrub,Banksia dallanneyi,4,3,,
6,tree,Banksia grandis,5,4,,
9,tree,Banksia ilicifolia,5,3,,
4,shrub,Banksia integrifolia subsp. compar,14,6,,
2,tree,Banksia marginata,27,13,,
4,shrub,Banksia oblongifolia,15,8,,
4,shrub,Banksia robur,14,7,,
6,shrub,Banksia serrata,14,5,,
6,shrub,Banksia spinulosa,17,4,,
6,shrub,Banksia spinulosa var. spinulosa,12,4,,
3,sedge,Baumea rubiginosa,34,6,,
4,tree,Beilschmiedia obtusifolia,12,7,,
1,forb,Bidens pilosa,31,10,,
2,shrub,Billardiera scandens,27,13,,
3,fern,Blechnum cartilagineum,27,8,,
8,fern,Blechnum indicum,16,3,,
3,fern,Blechnum nudum,28,7,,
3,fern,Blechnum wattsii,25,7,,
